Dataset,Model,RecallH,MacroF1,Kappa
CloudTask,KATS,0.4080,0.3382,0.0113
CloudTask,KATS_raw,0.4080,0.3382,0.0113
CloudTask,LightGBM,0.3240,0.3315,-0.0027
CloudTask,XGBoost,0.3210,0.3246,-0.0127
CloudTask,RandomForest,0.3330,0.3342,0.0013
CloudTask,BalancedRF,0.3355,0.3332,-0.0000
CloudTask,MLP,0.0485,0.2240,-0.0015
CloudTask,LogReg,0.3750,0.3316,-0.0010
CloudTask,NaiveBayes,0.3800,0.3333,0.0150
GoogleCluster,KATS,0.9996,0.9994,0.9990
GoogleCluster,KATS_raw,0.9992,0.9993,0.9989
GoogleCluster,LightGBM,0.9992,0.9992,0.9987
GoogleCluster,XGBoost,0.9988,0.9989,0.9982
GoogleCluster,RandomForest,0.9994,0.9993,0.9990
GoogleCluster,BalancedRF,0.9992,0.9991,0.9986
GoogleCluster,MLP,0.9423,0.8477,0.8028
GoogleCluster,LogReg,0.8868,0.9018,0.8614
GoogleCluster,NaiveBayes,0.8526,0.8561,0.8013
ITIncident,KATS,0.8471,0.3704,0.1086
ITIncident,KATS_raw,0.8426,0.3713,0.1095
ITIncident,LightGBM,0.7647,0.4609,0.2027
ITIncident,XGBoost,0.1971,0.5194,0.2789
ITIncident,RandomForest,0.2294,0.4924,0.2055
ITIncident,BalancedRF,0.6338,0.4770,0.2127
ITIncident,MLP,0.1765,0.4587,0.1871
ITIncident,LogReg,0.9265,0.2224,0.0501
ITIncident,NaiveBayes,0.0000,0.3241,0.0011
MultiCloud,KATS,0.4187,0.3618,0.0490
MultiCloud,KATS_raw,0.4187,0.3618,0.0490
MultiCloud,LightGBM,0.3344,0.3116,-0.0319
MultiCloud,XGBoost,0.3284,0.3183,-0.0216
MultiCloud,RandomForest,0.3436,0.3182,-0.0213
MultiCloud,BalancedRF,0.3282,0.3111,-0.0335
MultiCloud,MLP,0.3927,0.2724,0.0148
MultiCloud,LogReg,0.4732,0.3668,0.0583
MultiCloud,NaiveBayes,0.5479,0.3433,0.0404
CICIDS2017,KATS,0.9338,0.5494,0.2908
CICIDS2017,KATS_raw,0.9338,0.5494,0.2908
CICIDS2017,LightGBM,0.9981,0.9962,0.9951
CICIDS2017,XGBoost,0.9959,0.9964,0.9952
CICIDS2017,RandomForest,0.9883,0.9938,0.9910
CICIDS2017,BalancedRF,0.9928,0.9941,0.9904
CICIDS2017,MLP,0.8821,0.8999,0.8589
CICIDS2017,LogReg,0.9035,0.7129,0.5792
CICIDS2017,NaiveBayes,0.7099,0.5540,0.5739