Dataset,Model,Accuracy,RecallHigh,MacroF1,Kappa,AUC,Brier,IR
CloudTask,KATS,0.333333,1.000000,0.166667,0.000000,0.500140,0.294539,1.000000
CloudTask,LightGBM,0.335333,0.916500,0.215820,0.003000,0.494799,0.281054,1.000000
CloudTask,XGBoost,0.324833,0.321000,0.324584,-0.012750,0.495899,0.236214,1.000000
CloudTask,RandomForest,0.334167,0.333000,0.334186,0.001250,0.497579,0.230720,1.000000
CloudTask,BalancedRF,0.333333,0.335500,0.333236,0.000000,0.498798,0.230545,1.000000
CloudTask,MLP,0.332333,0.048500,0.224001,-0.001500,0.503362,0.402911,1.000000
CloudTask,LogReg,0.332667,0.375000,0.331590,-0.001000,0.503378,0.222500,1.000000
CloudTask,NaiveBayes,0.343333,0.380000,0.333310,0.015000,0.505879,0.222547,1.000000
GoogleCluster,KATS,0.999283,0.999784,0.999305,0.998885,0.999983,0.000400,1.953498
GoogleCluster,LightGBM,0.999250,0.999610,0.999277,0.998834,0.999992,0.000427,1.953498
GoogleCluster,XGBoost,0.998867,0.998831,0.998883,0.998237,0.999984,0.000601,1.953498
GoogleCluster,RandomForest,0.999350,0.999437,0.999348,0.998989,0.999999,0.000550,1.953498
GoogleCluster,BalancedRF,0.999117,0.999221,0.999132,0.998626,0.999997,0.000760,1.953498
GoogleCluster,MLP,0.874333,0.942294,0.847672,0.802805,0.963161,0.063244,1.953498
GoogleCluster,LogReg,0.909700,0.886797,0.901775,0.861416,0.972041,0.050918,1.953498
GoogleCluster,NaiveBayes,0.870417,0.852554,0.856105,0.801258,0.957623,0.062567,1.953498
ITIncident,KATS,0.628411,0.838235,0.373026,0.110914,0.816003,0.152874,34.610619
ITIncident,LightGBM,0.796148,0.764706,0.460945,0.202690,0.837282,0.103685,34.610619
ITIncident,XGBoost,0.944984,0.197059,0.519392,0.278932,0.840908,0.031639,34.610619
ITIncident,RandomForest,0.907343,0.229412,0.492367,0.205501,0.801964,0.048042,34.610619
ITIncident,BalancedRF,0.824037,0.633824,0.476988,0.212720,0.835942,0.086187,34.610619
ITIncident,MLP,0.930016,0.176471,0.458740,0.187058,0.762483,0.043235,34.610619
ITIncident,LogReg,0.297994,0.926471,0.222381,0.050068,0.766887,0.235232,34.610619
ITIncident,NaiveBayes,0.941533,0.000000,0.324139,0.001118,0.750427,0.041404,34.610619
MultiCloud,KATS,0.336000,1.000000,0.174825,0.005971,0.538565,0.290105,1.003003
MultiCloud,LightGBM,0.340000,0.662551,0.305943,0.010837,0.483456,0.288880,1.003003
MultiCloud,XGBoost,0.319000,0.328449,0.318272,-0.021580,0.478908,0.272817,1.003003
MultiCloud,RandomForest,0.319000,0.343555,0.318212,-0.021293,0.501115,0.233099,1.003003
MultiCloud,BalancedRF,0.311000,0.328223,0.311087,-0.033458,0.498375,0.233435,1.003003
MultiCloud,MLP,0.343000,0.392673,0.272407,0.014824,0.502112,0.421869,1.003003
MultiCloud,LogReg,0.372000,0.473180,0.366764,0.058299,0.545543,0.219697,1.003003
MultiCloud,NaiveBayes,0.360000,0.547897,0.343290,0.040371,0.539807,0.220659,1.003003
CICIDS2017,KATS,0.602383,0.933978,0.549380,0.291326,0.960556,0.135964,20.988215
CICIDS2017,LightGBM,0.998567,0.998066,0.996158,0.995081,0.999810,0.000856,20.988215
CICIDS2017,XGBoost,0.998600,0.995874,0.996352,0.995189,0.999821,0.000758,20.988215
CICIDS2017,RandomForest,0.997400,0.988266,0.993763,0.991034,0.999549,0.001367,20.988215
CICIDS2017,BalancedRF,0.997217,0.992779,0.994099,0.990446,0.999519,0.001870,20.988215
CICIDS2017,MLP,0.958183,0.882141,0.899873,0.858924,0.962015,0.027709,20.988215
CICIDS2017,LogReg,0.834283,0.903546,0.712917,0.579231,0.960405,0.106768,20.988215
CICIDS2017,NaiveBayes,0.891083,0.709865,0.553985,0.573863,0.831040,0.072535,20.988215