Feature,SpearmanCorr
flow_iat_mean,0.6375
flow_packets/s,0.6370
fwd_packets/s,0.6351
bwd_packet_length_min,0.6319
fwd_iat_mean,0.6307
fwd_iat_total,0.6307
fwd_iat_max,0.6307
total_fwd_packets,0.6307
flow_duration,0.6294
flow_iat_max,0.6283
flow_iat_std,0.6276
fwd_iat_std,0.6260
bwd_packets/s,0.6249
fwd_header_length,0.6240
act_data_pkt_fwd,0.6237
subflow_fwd_bytes,0.6176
fwd_packet_length_max,0.6176
total_length_of_fwd_packets,0.6176
packet_length_mean,0.6170
fwd_packet_length_mean,0.6158
fwd_iat_min,0.6095
destination_port,0.6086
flow_bytes/s,0.6054
average_packet_size,0.5899
init_win_bytes_backward,0.5854
bwd_packet_length_std,0.5802
bwd_packet_length_mean,0.5784
packet_length_variance,0.5776
packet_length_std,0.5776
bwd_header_length,0.5762
bwd_packet_length_max,0.5761
max_packet_length,0.5760
bwd_iat_min,0.5702
bwd_iat_max,0.5700
bwd_iat_total,0.5699
bwd_iat_mean,0.5697
psh_flag_count,0.5683
init_win_bytes_forward,0.5652
bwd_iat_std,0.5646
fwd_packet_length_std,0.5574
min_seg_size_forward,0.5525
idle_min,0.5411
flow_iat_min,0.5389
active_max,0.5387
active_mean,0.5387
active_min,0.5387
idle_mean,0.5152
ack_flag_count,0.5064
idle_max,0.5017
fwd_packet_length_min,0.4799
min_packet_length,0.4790
fin_flag_count,0.3927